density,risk_type,lambda,alpha,n_valid,n_failed,speedup_mean,speedup_std,node_red_mean,node_red_std,opt_ratio_mean,opt_ratio_std
0.3,gradient,0.5,0.03,30,0,7.889695396939897,0.992687973974133,87.27418366611568,0.4724571250420036,1.0024527577814266,0.0033099656531816735
0.3,gradient,0.5,0.05,30,0,4.522716638493663,0.7137833260903441,78.63301165808073,0.7147888124201198,1.0004869774028522,0.0019596209044301476
0.3,gradient,0.5,0.07,30,0,3.6630858875354866,0.31303859156639835,73.05547133837513,0.8611114581089183,1.0000863275915626,0.0004728356923395084
0.3,gradient,0.5,0.1,30,0,2.4130296175483164,0.19955817070392143,59.710445726677264,1.1370917224073542,1.0,0.0
0.3,gradient,0.5,0.15,30,0,1.6826644724474216,0.161987850106421,42.695646895284604,1.3389554071802137,1.0,0.0
0.3,gradient,0.5,0.2,30,0,1.3191731044643489,0.12113579724600593,27.76275817556619,1.493836059857848,1.0,0.0
0.3,gradient,0.5,0.25,30,0,1.0736007665366956,0.11896473160471077,15.39659341417776,1.4628113114479429,1.0,0.0
0.3,gradient,0.5,0.3,30,0,0.9684130211041836,0.08856228226779282,6.041440355940828,1.1754525808167189,1.0,0.0
0.3,gradient,1.0,0.01,30,0,17.87366576017363,8.00259031096783,92.55376054592588,3.4949076560638797,1.010155588745496,0.007536649754241523
0.3,gradient,1.0,0.02,30,0,18.81764624349404,5.99092484899977,92.98091926423147,3.371257781276924,1.0095464689408602,0.00630420859704623
0.3,gradient,1.0,0.03,30,0,11.891078907180763,0.7207024822924905,90.69883698156261,0.2214612427520263,1.0031411491080644,0.003603529225912594
0.3,gradient,1.0,0.05,30,0,6.830737771101814,0.4031569497832003,84.37340008629617,0.325634500568023,1.0006808251121417,0.0019039681895658216
0.3,gradient,1.0,0.07,30,0,5.20687807640455,0.8033920953189476,80.26998013464255,0.3894329265849099,1.0001487853278292,0.0008149308027779939
0.3,gradient,1.0,0.1,30,0,3.5080650699333047,0.24344127584122713,70.42091612060734,0.49302156998457425,1.0,0.0
0.3,gradient,1.0,0.15,30,0,2.271194799930931,0.18050724156339354,57.5622793017318,0.6569544484750544,1.0,0.0
0.3,gradient,1.0,0.2,30,0,1.8476333225121606,0.11241778403694078,45.79273166664809,0.8297801696415202,1.0,0.0
0.3,gradient,1.0,0.25,30,0,1.5395229383869393,0.0747824376284665,35.114367689335104,0.9660529852032224,1.0,0.0
0.3,gradient,1.0,0.3,30,0,1.3261545509308346,0.06008859054652673,25.56872861001469,1.0673222017624298,1.0,0.0
0.3,hotspot,0.5,0.01,30,0,4.607398616122368,3.3613707966595148,67.25089455050149,13.787975471885826,1.0162025121472076,0.011568345589324283
0.3,hotspot,0.5,0.02,30,0,5.260639810140156,3.8091236115453304,70.67259560030237,14.05367730370786,1.0162025121472076,0.011568345589324283
0.3,hotspot,0.5,0.03,30,0,3.4714682305356876,1.7305836456230974,64.31196822001876,8.672003302206182,1.009059479541212,0.01121809751434902
0.3,hotspot,0.5,0.05,30,0,2.1769043973689963,1.0718468823080896,44.13034369205925,11.923314873764982,1.0044664470376774,0.008149541948470453
0.3,hotspot,0.5,0.07,30,0,1.7381726297493534,0.8484715947056478,33.0640724646522,13.141304119924317,1.0022584247779696,0.004533232214733621
0.3,hotspot,0.5,0.1,30,0,1.2338350889557133,0.5760627278305368,12.48616101668205,11.91596882439932,1.0006746468399579,0.0020284161124686463
